id,name,neighborhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,amenities,availability_365,month
1172,Listing 1172,Financial District,40.6433,-73.919845,Private room,4,3,1,4,157,5,44,86.0,"Pool,Dryer,Heating,Beach access",211,March
1173,Listing 1173,Chelsea,40.699626,-73.865245,Shared room,1,2,1,4,89,5,129,89.0,"Gym,Beach access,Pool,Breakfast,Pet friendly,Free parking",135,April
1174,Listing 1174,Midtown,40.758773,-74.036409,Shared room,1,1,2,1,120,2,117,87.0,"Free parking,Breakfast,Kitchen,Air Conditioning,Beach access,Dryer",328,April
1175,Listing 1175,Harlem,40.693653,-73.862242,Shared room,1,3,2,2,165,2,76,96.0,"Pool,Dryer,Elevator",94,February
1176,Listing 1176,Chelsea,40.725784,-73.793053,Entire home/apt,2,1,3,3,329,4,42,88.0,"Breakfast,Washer,Pet friendly,Wifi",341,December
1177,Listing 1177,Harlem,40.764673,-74.00112,Shared room,3,3,3,2,152,5,68,99.0,"Beach access,Kitchen,Heating,Gym,Wifi,Dryer,Air Conditioning",114,December
1178,Listing 1178,Queens,40.617642,-73.857274,Entire home/apt,2,3,2,2,287,2,147,89.0,"Beach access,Gym,Pet friendly,Pool,Kitchen",97,November
1179,Listing 1179,SoHo,40.606628,-73.874267,Shared room,6,2,3,3,215,1,23,92.0,"Beach access,Breakfast,Elevator,Kitchen,Free parking,Gym",161,August
1180,Listing 1180,SoHo,40.835058,-73.877358,Entire home/apt,4,2,2,3,138,5,124,94.0,"Beach access,Wifi,Pet friendly,Kitchen,Pool",58,September
1181,Listing 1181,Midtown,40.697042,-73.857014,Entire home/apt,4,2,1,4,129,3,40,96.0,"Kitchen,Beach access,Elevator,Dryer,Breakfast",240,December
1182,Listing 1182,Queens,40.714563,-73.886315,Entire home/apt,4,3,2,2,177,1,0,75.0,"Kitchen,Heating,Air Conditioning,Washer,Free parking,Pool",54,November
1183,Listing 1183,Downtown,40.835366,-73.934169,Shared room,3,1,2,2,162,1,26,72.0,"Elevator,Dryer,Heating,Gym,Beach access",123,February
1184,Listing 1184,Midtown,40.840298,-73.778395,Shared room,5,1,3,2,229,2,105,88.0,"Washer,Kitchen,Pet friendly,Heating,Beach access,Gym",229,June
1185,Listing 1185,SoHo,40.648948,-74.029192,Private room,2,1,2,1,115,5,72,93.0,"Beach access,Dryer,Washer",315,September
1186,Listing 1186,Williamsburg,40.625195,-74.044533,Shared room,2,3,2,3,227,2,126,81.0,"Washer,Pool,Beach access",354,January
1187,Listing 1187,Midtown,40.623611,-73.845098,Shared room,1,2,2,2,146,5,44,93.0,"Breakfast,Kitchen,Wifi,Air Conditioning,Pet friendly,Beach access",184,October
1188,Listing 1188,Brooklyn,40.617797,-73.954307,Entire home/apt,1,2,3,3,252,4,108,91.0,"Kitchen,Beach access,Free parking,Pet friendly,Heating,Dryer",92,December
1189,Listing 1189,Upper East Side,40.811219,-74.043018,Entire home/apt,5,1,1,3,154,1,79,91.0,"Pet friendly,Washer,Wifi,Breakfast,Kitchen,Gym",109,October
1190,Listing 1190,Chelsea,40.803617,-73.965444,Shared room,5,1,2,2,83,1,41,84.0,"Free parking,Breakfast,Dryer,Heating,Elevator",114,January
1191,Listing 1191,Upper East Side,40.629541,-73.840979,Shared room,1,1,2,4,108,5,19,84.0,"Free parking,Elevator,Wifi,Pool,Heating,Pet friendly",130,September
1192,Listing 1192,Upper East Side,40.757236,-73.786758,Entire home/apt,5,3,3,1,129,1,3,76.0,"Pool,Elevator,Gym",126,December
1193,Listing 1193,Queens,40.783768,-73.808956,Entire home/apt,5,3,3,4,136,3,69,95.0,"Air Conditioning,Elevator,Kitchen",307,June
1194,Listing 1194,Downtown,40.670509,-73.996768,Entire home/apt,2,3,1,4,97,3,83,71.0,"Pool,Wifi,Elevator,Washer,Dryer,Free parking,Beach access",174,August
1195,Listing 1195,Chelsea,40.787654,-73.80795,Private room,5,2,1,2,95,1,59,86.0,"Beach access,Pet friendly,Wifi,Elevator,Breakfast",242,January
1196,Listing 1196,Upper East Side,40.847626,-73.926215,Entire home/apt,2,3,1,4,191,2,71,71.0,"Washer,Free parking,Gym",240,January
1197,Listing 1197,Chelsea,40.693005,-73.817076,Shared room,1,3,1,2,260,5,15,82.0,"Washer,Dryer,Pet friendly,Elevator",251,July
1198,Listing 1198,Harlem,40.685201,-73.770773,Private room,4,2,1,1,269,5,27,73.0,"Heating,Pool,Pet friendly",210,April
1199,Listing 1199,SoHo,40.814603,-73.921302,Entire home/apt,5,2,1,4,163,1,23,74.0,"Pet friendly,Breakfast,Air Conditioning,Wifi,Washer",217,August
1200,Listing 1200,Queens,40.787718,-73.823637,Entire home/apt,6,1,2,4,187,3,44,,"Pool,Free parking,Pet friendly,Washer,Kitchen,Breakfast",102,January
1201,Listing 1201,Queens,40.625781,-73.779234,Entire home/apt,1,1,1,2,131,1,149,87.0,"Kitchen,Wifi,Breakfast,Washer,Pool",115,July
1202,Listing 1202,Midtown,40.726313,-73.802063,Private room,1,1,2,1,91,4,127,,"Beach access,Gym,Heating,Elevator,Washer,Breakfast",190,October
1203,Listing 1203,Upper East Side,40.680012,-73.781343,Private room,2,1,3,2,214,5,122,70.0,"Dryer,Gym,Heating",264,May
1204,Listing 1204,Brooklyn,40.6973,-74.046749,Shared room,5,1,3,1,172,5,124,80.0,"Free parking,Elevator,Gym,Dryer,Heating,Wifi,Breakfast",355,December
1205,Listing 1205,Brooklyn,40.826345,-74.022614,Entire home/apt,3,1,2,3,270,2,25,76.0,"Dryer,Free parking,Wifi,Washer",344,October
1206,Listing 1206,SoHo,40.679828,-73.764981,Private room,2,1,1,3,317,5,7,91.0,"Air Conditioning,Breakfast,Heating,Pet friendly,Washer",302,December
1207,Listing 1207,Financial District,40.837652,-73.877969,Private room,2,2,1,1,65,1,134,84.0,"Elevator,Air Conditioning,Washer",116,April
1208,Listing 1208,Harlem,40.757959,-73.915466,Shared room,2,2,1,1,90,2,28,96.0,"Elevator,Kitchen,Breakfast,Gym,Pet friendly,Beach access,Heating",215,October
1209,Listing 1209,Queens,40.673303,-73.951401,Entire home/apt,6,2,3,4,270,5,91,76.0,"Heating,Gym,Dryer,Beach access,Breakfast,Free parking,Elevator",50,June
1210,Listing 1210,Williamsburg,40.76813,-73.824288,Private room,5,1,1,3,269,5,26,98.0,"Heating,Elevator,Kitchen,Washer,Pet friendly,Free parking",135,October
1211,Listing 1211,Midtown,40.797895,-73.813115,Shared room,6,3,3,3,156,2,17,80.0,"Breakfast,Kitchen,Wifi,Beach access,Gym",274,January
1212,Listing 1212,SoHo,40.622802,-73.901674,Entire home/apt,4,2,2,3,232,4,147,89.0,"Heating,Pool,Kitchen,Wifi",200,July
1213,Listing 1213,Downtown,40.61439,-73.885141,Private room,3,1,1,3,116,1,140,99.0,"Elevator,Air Conditioning,Pet friendly",297,July
1214,Listing 1214,Downtown,40.710383,-73.783689,Private room,6,1,3,4,82,2,48,82.0,"Pet friendly,Breakfast,Free parking,Dryer,Air Conditioning,Beach access,Kitchen",99,January
1215,Listing 1215,Downtown,40.687729,-74.01488,Private room,5,3,2,2,75,1,75,95.0,"Pool,Washer,Kitchen,Wifi,Pet friendly,Heating,Elevator",199,June
1216,Listing 1216,Midtown,40.635748,-73.821547,Private room,1,2,2,4,201,5,99,74.0,"Gym,Elevator,Heating,Pool,Wifi",184,November
1217,Listing 1217,Chelsea,40.754555,-74.019663,Private room,3,1,2,1,108,1,88,94.0,"Gym,Air Conditioning,Washer,Free parking,Wifi,Breakfast,Pool",317,December
1218,Listing 1218,SoHo,40.621027,-73.839709,Shared room,6,2,3,2,156,1,128,87.0,"Breakfast,Air Conditioning,Beach access,Pet friendly,Heating,Kitchen,Gym",279,May
1219,Listing 1219,Queens,40.618191,-73.803442,Entire home/apt,2,1,1,1,173,4,51,95.0,"Air Conditioning,Dryer,Elevator,Kitchen",94,February
1220,Listing 1220,SoHo,40.776561,-74.025595,Shared room,4,3,2,3,269,1,150,85.0,"Kitchen,Gym,Heating,Beach access,Breakfast,Free parking",338,August
1221,Listing 1221,Midtown,40.621209,-73.754008,Private room,5,2,2,3,177,5,121,70.0,"Dryer,Gym,Heating,Air Conditioning",361,November
1222,Listing 1222,SoHo,40.693568,-73.938807,Entire home/apt,4,2,3,2,74,3,95,,"Breakfast,Dryer,Pet friendly,Beach access,Pool",100,December
1223,Listing 1223,Brooklyn,40.8032,-73.765825,Entire home/apt,3,3,2,3,139,1,48,83.0,"Gym,Pet friendly,Pool,Free parking",241,December
1224,Listing 1224,Downtown,40.8465,-73.823987,Shared room,2,1,2,4,90,1,44,75.0,"Wifi,Washer,Breakfast,Pool",75,September
1225,Listing 1225,Harlem,40.694065,-74.02495,Shared room,2,2,2,4,248,1,7,76.0,"Pool,Air Conditioning,Breakfast,Heating,Beach access",350,July
1226,Listing 1226,Financial District,40.794287,-73.882479,Private room,3,1,2,1,119,2,146,93.0,"Washer,Beach access,Breakfast,Pet friendly",187,January
1227,Listing 1227,SoHo,40.706056,-73.778094,Shared room,1,3,1,4,291,5,2,76.0,"Air Conditioning,Dryer,Beach access,Pet friendly,Gym",242,March
1228,Listing 1228,Harlem,40.627799,-73.902212,Private room,3,1,2,3,237,4,149,72.0,"Free parking,Beach access,Elevator",337,September
1229,Listing 1229,Williamsburg,40.602838,-73.909402,Shared room,3,2,3,1,167,3,83,96.0,"Dryer,Beach access,Pet friendly,Breakfast,Washer",126,February
1230,Listing 1230,Financial District,40.614076,-74.014355,Entire home/apt,1,3,2,3,233,4,75,77.0,"Gym,Breakfast,Wifi,Air Conditioning,Washer,Elevator",163,March
1231,Listing 1231,Financial District,40.629382,-73.855237,Shared room,4,3,2,3,284,5,46,78.0,"Pool,Heating,Dryer",336,March
1232,Listing 1232,Queens,40.786511,-73.874989,Shared room,3,3,1,2,146,3,107,94.0,"Elevator,Dryer,Air Conditioning,Pet friendly,Pool",110,April
1233,Listing 1233,Chelsea,40.840543,-73.937539,Entire home/apt,6,3,3,1,170,4,135,78.0,"Wifi,Heating,Pet friendly,Washer,Elevator,Gym",341,April
1234,Listing 1234,Chelsea,40.671428,-73.78942,Entire home/apt,3,3,1,1,241,2,80,89.0,"Wifi,Pool,Dryer",157,June
1235,Listing 1235,Queens,40.655899,-73.761033,Shared room,2,2,1,2,287,4,109,99.0,"Gym,Wifi,Pet friendly,Free parking,Washer,Elevator",57,July
1236,Listing 1236,Harlem,40.603039,-73.759036,Shared room,2,1,3,1,241,3,79,73.0,"Gym,Free parking,Air Conditioning",206,December
1237,Listing 1237,Queens,40.61079,-73.782657,Entire home/apt,1,2,2,4,240,3,111,97.0,"Elevator,Pool,Breakfast,Washer",134,September
1238,Listing 1238,SoHo,40.731925,-73.752111,Entire home/apt,2,1,3,2,114,5,43,72.0,"Pet friendly,Beach access,Wifi,Gym,Dryer",323,December
1239,Listing 1239,Williamsburg,40.618449,-73.883844,Entire home/apt,5,1,3,1,197,1,106,83.0,"Kitchen,Free parking,Dryer,Pool,Heating,Washer",54,January
1240,Listing 1240,Upper East Side,40.842326,-73.893071,Private room,6,1,3,3,217,4,26,85.0,"Kitchen,Dryer,Breakfast,Beach access,Pool,Washer,Pet friendly",152,October
1241,Listing 1241,Upper East Side,40.75735,-73.841275,Shared room,2,2,3,4,113,4,53,91.0,"Elevator,Washer,Wifi,Beach access,Kitchen,Free parking",343,March
1242,Listing 1242,Chelsea,40.713635,-73.861733,Entire home/apt,1,3,1,1,289,4,75,77.0,"Wifi,Kitchen,Heating,Breakfast,Dryer,Elevator",210,May
1243,Listing 1243,SoHo,40.746079,-73.779653,Shared room,1,1,1,1,276,2,84,80.0,"Air Conditioning,Dryer,Kitchen,Elevator,Breakfast,Heating",108,March
1244,Listing 1244,SoHo,40.611362,-73.965711,Private room,4,2,2,4,354,2,28,73.0,"Heating,Kitchen,Gym",352,July
1245,Listing 1245,Chelsea,40.837603,-73.782921,Shared room,6,2,1,4,344,2,123,98.0,"Kitchen,Gym,Pool,Wifi,Breakfast,Dryer",210,June
1246,Listing 1246,Downtown,40.713914,-73.86396,Shared room,6,3,3,2,382,5,133,91.0,"Kitchen,Gym,Beach access,Washer,Pool,Elevator,Free parking",247,November
1247,Listing 1247,Queens,40.669345,-73.993564,Shared room,5,1,1,2,260,2,19,93.0,"Elevator,Washer,Breakfast,Dryer,Wifi,Pet friendly",331,August
1248,Listing 1248,SoHo,40.715925,-73.943994,Private room,2,1,2,4,252,4,114,79.0,"Pool,Pet friendly,Beach access",59,October
1249,Listing 1249,Midtown,40.745914,-74.02668,Private room,4,1,3,1,276,5,77,97.0,"Free parking,Washer,Beach access,Pool,Elevator,Breakfast,Gym",77,February
1250,Listing 1250,Brooklyn,40.843599,-73.754137,Private room,3,3,3,4,273,4,29,72.0,"Wifi,Elevator,Pet friendly,Dryer",330,November
1251,Listing 1251,Financial District,40.77454,-73.889171,Private room,6,1,1,2,187,4,27,77.0,"Washer,Breakfast,Kitchen,Gym,Pet friendly,Pool,Air Conditioning",147,March
1252,Listing 1252,Harlem,40.677382,-73.805861,Entire home/apt,4,1,3,1,330,5,129,73.0,"Wifi,Free parking,Breakfast,Pet friendly,Gym,Pool",310,August
1253,Listing 1253,Queens,40.771183,-74.001215,Shared room,5,1,3,2,106,5,82,85.0,"Gym,Air Conditioning,Washer,Dryer,Breakfast,Elevator",200,July
1254,Listing 1254,Chelsea,40.827732,-73.803239,Entire home/apt,2,2,3,3,320,3,141,89.0,"Washer,Breakfast,Air Conditioning,Dryer",226,December
1255,Listing 1255,Queens,40.83745,-73.832284,Shared room,6,1,3,3,243,5,122,87.0,"Beach access,Pet friendly,Gym,Free parking,Dryer,Breakfast,Pool",56,February
1256,Listing 1256,Financial District,40.753354,-73.924527,Entire home/apt,1,2,1,1,207,2,73,90.0,"Heating,Wifi,Dryer,Washer,Free parking",66,January
1257,Listing 1257,Harlem,40.833182,-73.790181,Private room,1,3,3,2,290,2,130,94.0,"Pet friendly,Beach access,Wifi,Gym,Air Conditioning",263,November
1258,Listing 1258,Harlem,40.611305,-74.04209,Shared room,1,1,3,3,108,4,57,98.0,"Breakfast,Air Conditioning,Free parking,Pet friendly,Washer",149,October
1259,Listing 1259,Upper East Side,40.694116,-73.806834,Private room,2,3,1,2,309,1,96,70.0,"Dryer,Free parking,Breakfast,Heating,Air Conditioning,Beach access",52,March
1260,Listing 1260,Harlem,40.846819,-74.004875,Private room,6,1,1,2,395,5,77,84.0,"Free parking,Elevator,Kitchen,Pet friendly,Breakfast,Washer,Beach access",316,June
1261,Listing 1261,Midtown,40.748533,-73.935733,Shared room,2,2,3,4,92,2,84,79.0,"Dryer,Washer,Air Conditioning,Free parking,Pool",337,June
1262,Listing 1262,Downtown,40.842479,-73.797364,Entire home/apt,6,2,2,2,343,5,62,99.0,"Beach access,Elevator,Gym",108,November
1263,Listing 1263,SoHo,40.809582,-73.909392,Private room,5,3,2,1,301,3,131,94.0,"Pool,Breakfast,Wifi,Dryer,Washer,Elevator,Air Conditioning",92,September
1264,Listing 1264,Midtown,40.703705,-73.967978,Entire home/apt,5,3,1,1,126,2,108,95.0,"Washer,Free parking,Gym",86,November
1265,Listing 1265,Queens,40.614094,-73.790583,Entire home/apt,4,3,2,1,65,3,142,71.0,"Washer,Dryer,Gym,Beach access,Pool,Air Conditioning,Breakfast",211,February
1266,Listing 1266,Downtown,40.803225,-73.750085,Private room,6,1,3,1,261,5,11,91.0,"Elevator,Free parking,Kitchen",198,December
1267,Listing 1267,Upper East Side,40.849159,-73.88337,Shared room,1,2,2,4,167,2,136,76.0,"Pet friendly,Gym,Free parking,Dryer",123,November
1268,Listing 1268,Upper East Side,40.792247,-73.76657,Shared room,6,3,2,1,177,1,1,87.0,"Gym,Free parking,Pet friendly,Kitchen,Dryer,Washer,Elevator",226,September
1269,Listing 1269,Brooklyn,40.812412,-73.975796,Private room,6,3,1,2,99,3,49,72.0,"Beach access,Air Conditioning,Wifi,Free parking",286,April
1270,Listing 1270,Financial District,40.712636,-74.011252,Entire home/apt,3,3,1,3,78,4,84,80.0,"Beach access,Breakfast,Washer,Kitchen",195,April
1271,Listing 1271,Williamsburg,40.838513,-73.868148,Entire home/apt,2,2,2,4,138,5,39,87.0,"Elevator,Breakfast,Gym,Heating,Wifi,Pet friendly,Kitchen",163,October
1272,Listing 1272,SoHo,40.657161,-73.84849,Private room,3,1,3,3,366,3,78,84.0,"Kitchen,Heating,Beach access,Air Conditioning,Breakfast,Dryer,Gym",121,August
1273,Listing 1273,Financial District,40.754532,-73.942551,Entire home/apt,3,3,3,1,254,5,7,95.0,"Air Conditioning,Gym,Breakfast,Washer,Wifi,Dryer,Pool",326,February
1274,Listing 1274,Chelsea,40.628389,-73.848528,Shared room,2,2,2,2,290,3,34,83.0,"Free parking,Kitchen,Gym,Elevator,Breakfast,Wifi,Air Conditioning",172,October
1275,Listing 1275,Williamsburg,40.730077,-73.818304,Shared room,2,3,1,4,91,5,37,92.0,"Elevator,Wifi,Washer,Pool,Beach access,Kitchen",185,March
1276,Listing 1276,Harlem,40.730041,-73.794346,Entire home/apt,1,3,1,3,219,1,10,89.0,"Kitchen,Pet friendly,Free parking,Dryer,Air Conditioning",346,August
1277,Listing 1277,Financial District,40.737977,-73.881719,Shared room,2,2,3,4,147,1,132,77.0,"Washer,Free parking,Gym,Elevator,Air Conditioning,Pool",296,October
1278,Listing 1278,Williamsburg,40.819163,-73.928955,Entire home/apt,5,1,2,2,108,3,54,73.0,"Heating,Elevator,Air Conditioning,Kitchen",167,February
1279,Listing 1279,SoHo,40.633504,-74.041365,Private room,6,1,2,4,175,4,5,76.0,"Heating,Air Conditioning,Pet friendly",132,April
1280,Listing 1280,Queens,40.788784,-73.863907,Shared room,5,1,3,2,60,2,132,99.0,"Air Conditioning,Breakfast,Beach access,Wifi,Dryer,Kitchen",160,March
1281,Listing 1281,Chelsea,40.77602,-73.986111,Shared room,4,2,1,2,361,5,46,88.0,"Dryer,Heating,Beach access,Elevator,Pool,Kitchen,Free parking",243,July
1282,Listing 1282,SoHo,40.634093,-74.045637,Entire home/apt,1,1,1,4,266,2,121,97.0,"Air Conditioning,Wifi,Free parking,Beach access,Kitchen,Breakfast,Washer",116,March
1283,Listing 1283,Williamsburg,40.687647,-73.873025,Shared room,1,3,3,4,239,1,135,82.0,"Breakfast,Pool,Gym,Elevator",351,July
1284,Listing 1284,Williamsburg,40.698061,-73.918758,Entire home/apt,4,1,2,4,266,1,72,88.0,"Gym,Dryer,Washer,Wifi,Air Conditioning,Kitchen,Pet friendly",53,April
1285,Listing 1285,SoHo,40.82604,-73.945523,Shared room,2,3,2,4,132,5,64,77.0,"Gym,Air Conditioning,Elevator,Pet friendly,Dryer,Breakfast,Pool",154,February
1286,Listing 1286,SoHo,40.728497,-73.814904,Shared room,5,2,1,3,192,3,147,80.0,"Pet friendly,Heating,Beach access,Kitchen,Washer,Pool",132,September
1287,Listing 1287,Midtown,40.699136,-73.863374,Entire home/apt,5,2,2,1,135,1,23,95.0,"Pool,Air Conditioning,Gym,Kitchen",82,July
1288,Listing 1288,Upper East Side,40.815591,-73.765144,Entire home/apt,3,1,3,1,347,4,133,78.0,"Wifi,Heating,Beach access,Pool,Air Conditioning,Breakfast,Kitchen",315,July
1289,Listing 1289,Upper East Side,40.636768,-73.772024,Entire home/apt,1,3,3,2,214,3,61,89.0,"Heating,Kitchen,Dryer",254,March
1290,Listing 1290,Harlem,40.723029,-73.972527,Shared room,4,2,3,2,190,1,23,86.0,"Pet friendly,Free parking,Air Conditioning,Elevator,Beach access",191,January
1291,Listing 1291,Brooklyn,40.714784,-73.75599,Shared room,2,2,2,1,113,1,143,71.0,"Dryer,Elevator,Kitchen,Free parking,Breakfast,Air Conditioning,Pet friendly",276,March
1292,Listing 1292,SoHo,40.723155,-73.951375,Shared room,4,1,2,4,329,1,123,72.0,"Kitchen,Gym,Beach access,Washer,Air Conditioning",211,August
1293,Listing 1293,SoHo,40.75835,-73.977956,Private room,5,3,1,3,103,3,19,86.0,"Pool,Elevator,Pet friendly,Washer",343,May
1294,Listing 1294,Upper East Side,40.618966,-74.011336,Entire home/apt,6,3,1,4,225,2,67,75.0,"Washer,Breakfast,Air Conditioning,Elevator",129,April
1295,Listing 1295,Midtown,40.632011,-74.004429,Entire home/apt,1,3,3,4,217,5,10,96.0,"Elevator,Air Conditioning,Breakfast,Pool,Dryer,Pet friendly",143,January
1296,Listing 1296,Financial District,40.634707,-73.857738,Private room,4,1,3,2,66,4,138,70.0,"Elevator,Gym,Beach access,Heating,Pool,Kitchen,Breakfast",315,September
1297,Listing 1297,Chelsea,40.64547,-73.9463,Private room,6,1,1,2,135,3,66,74.0,"Dryer,Washer,Breakfast,Pool,Elevator,Free parking,Kitchen",305,October
1298,Listing 1298,SoHo,40.824197,-73.907812,Entire home/apt,4,3,2,3,344,2,146,73.0,"Beach access,Washer,Kitchen,Dryer,Pet friendly,Gym,Pool",245,July
1299,Listing 1299,Brooklyn,40.766889,-73.998304,Entire home/apt,6,1,2,1,128,5,136,92.0,"Breakfast,Pool,Dryer,Beach access,Free parking",340,July
1300,Listing 1300,Downtown,40.648072,-74.037739,Private room,1,3,1,1,104,1,115,92.0,"Dryer,Elevator,Pet friendly,Free parking,Air Conditioning",181,May
